AG_TOT,ANC,ASPCTDEG,CL,COND,DOC,ELEVMEAN,FOR_TOT,KM_SEA,LAT_DD,LON_DD,Sodium,NH4,NO3,NTL,PHSTVL,POPDENKM,PRECIP_M,PTL,RD_DEN,RNG_TOT,SIO2,SLOPMEAN,SO4,STATE,TSS,TURB,URB_TOT,W1_HALL,WSAREA
1.6,1062.8,212,159.9,137.2,1.49,502,54.09,173,39.71635,121.63527,266.6,0.4,83.5,1433,7.8,456.132,1.301,36,59.53,9.48,36.74,5.85,41.2,CA,20.8,1.32,34.77,0,8.481
0.01,4129.9,199,600.5,562.8,0.77,224.3,43.82,3,37.72768,122.16887,1461.4,0.6,509.7,7400,7.83,219.895,0.624,41,22.46,38.82,30.07,15.22,777.4,CA,0.5,0.225,14.05,4.977313636,112.4863
0,192.6,75,31.3,23.68,0.63,1268.5,91.75,30,40.7548,123.73981,61.6,0.4,0,15,6.54,0,2.231,4,11.48,8.4,4.68,11.66,10.2,CA,4.5,0.343,0,0.257577273,1.1674
0,1687.2,74,5.9,153.2,0.5,2173.1,52.09,137,41.33699,122.40794,11,0.3,2.1,44,8.3,0.986,1.105,0,0,27.04,17.09,18.12,10,CA,0.1,0.177,0,0,5.0678
0,561.4,298,7.3,56.29,0.67,1920.9,89.5,167,41.49024,122.02899,125.1,0.2,0,64,7.72,0,1.19,25,6.87,5.69,31.4,13.23,16.2,CA,1.7,0.566,0.02,1.5,13.1348
6.2,5976.4,355,5609.6,2250,3.88,221.6,17.7,8,34.67473,120.51417,6412.5,82,708.9,12150,8.09,3.405,0.447,265,12.41,74.53,27.39,14.91,12508.4,CA,157.1,13.1,0.84,1.27275,21.4386
0,213.7,1,5.9,23.37,1.03,3253.2,29.17,238,37.54998,118.75965,57.1,0.3,0,105,7.54,0.844,0.758,3,1.14,48.56,6.14,22.17,10.2,CA,3.2,1.01,0,0,30.8227
0,2019,176,32.4,192.1,1.2,1849.9,77.45,266,40.43368,120.72438,454.5,0.4,0,63,7.76,0.889,0.693,31,16.26,22.5,39.03,9.79,6,CA,8.7,2.82,0.04,0.393940909,42.7607
0,630.1,283,33.6,65.49,0.62,1268.6,97.54,100,38.57735,120.54398,153.2,0.4,2.9,81,7.48,0.853,1.246,9,26.07,2.37,18,13.53,42.9,CA,2.1,0.234,0,0.469713636,28.1202
0,3265,255,15.8,305.7,0.59,1621.4,93.71,65,41.66347,123.27663,67.4,0.3,0,40,8.48,0,2.314,28,0,5.31,17.06,24.36,115.1,CA,8.6,0.246,0,0,1.119
0,3075.1,11,389.2,319.3,0.9,1111.9,79.69,97,40.62567,122.95602,378.7,0.4,2.9,94,8.34,0.718,1.076,6,8.01,19.47,17.23,22.21,229.4,CA,0.1,0.2,0,1.136395455,146.1422
0,3785.9,132,130.3,383.9,1.73,1462.4,56.93,47,34.25461,118.08523,465,0.4,2.1,81,8.11,0,0.809,3,25.79,42.28,21.97,26.48,187.6,CA,0.1,0.15,0.28,0.401531818,3.9934
0.33,2322.4,116,757.3,315.6,2.23,1496,68.52,60,32.92981,116.55901,937.8,0.9,2.1,130,7.52,0,0.78,15,20.41,31.1,42.15,13.5,248.8,CA,1.3,0.173,0.01,0,7.9291
0,357.3,328,9,51.23,0.68,2903.5,85.84,106,34.14599,116.87859,115.3,0.8,0,74,7.67,0,0.955,9,6.42,12.71,12.48,23.56,114.7,CA,3.5,0.355,0,0,2.9514
0.17,1417.8,214,192.9,163.8,2.86,2072.9,52.76,88,33.72962,116.6735,798.5,0.6,2.9,131,7.42,0.173,0.81,7,3.78,46.87,44.54,26.34,39.8,CA,1.3,0.16,0,0,5.789
0,1504.9,69,26.2,144.7,0.72,1211,92,34,41.57212,123.64054,81,0.5,2.1,53,8.13,0.069,2.912,2,9.48,7.22,13.39,20.05,118,CA,0.2,0.129,0,0.636363636,14.515
0.49,2501.9,90,72.5,1312,1.66,1635.8,21.94,45,34.6408,119.08094,1022.6,0.4,0,84,8.1,0.119,0.521,3,2.11,70.93,19.38,16.87,13539.9,CA,0.1,0.188,0,0,67.1629
0.84,1814.6,102,371.8,230.4,3.6,1521.1,62.15,53,33.33669,116.82848,837.8,0.6,0,209,8.02,3.344,0.702,34,6.73,35.93,29.83,12.47,150.7,CA,1,0.262,0.07,0,25.4212
0.13,4649.9,139,493.6,599.3,0.96,768.8,13.69,9,34.42131,119.3806,1324.6,0.1,4.3,89,8.27,0.853,0.637,2,5.11,82.72,19.87,24.34,1480.7,CA,0.1,0.139,0.09,0,22.272
0,2505.2,192,1079.4,424.1,1.84,1323.1,40.01,88,34.14972,117.13313,2144.4,0.9,253.4,3720,8.38,51.956,0.695,568,21.1,58.13,33.67,21.97,327.9,CA,1.4,0.309,1.57,0.113636364,34.7562
0.09,1426.7,315,47.7,200.5,3.76,1156.1,27.48,30,34.5515,119.20811,279.5,9.6,3.6,1641,8.21,0.668,0.582,40,7.69,70.46,6.46,18.48,496.8,CA,15.1,2.23,0.01,0.136363636,19.4559
0,4217.9,294,3.9,347.1,0.68,929.5,67.15,51,38.87519,122.88173,215.7,1.1,4.3,159,7.72,0,1.387,9,2.22,33,14.69,18.33,51.6,CA,3.3,0.356,0,0.33335,2.5009
0,1423.7,163,153.4,165.1,0.75,1014.8,72.53,97,40.68862,122.93228,273.9,0.4,4.3,318,7.9,30.526,1.129,11,16.6,24.62,19.79,18.31,81.4,CA,0.3,0.183,2.13,0.822513853,114.4613
0.34,2101,314,136.2,248.1,0.79,802.1,66.17,34,40.39042,123.92781,319.7,0.3,0,63,8.49,3.13,1.53,8,10.61,32.48,10.71,18.03,306.7,CA,0.1,0.525,0.16,3.818254545,7673.2329
0,1169.8,302,68,130.5,0.56,732.8,94,8,41.82633,124.11418,102.4,0.2,2.1,48,8.31,0.696,2.744,2,8.8,5.03,14.19,22.9,59.5,CA,0.1,0.194,0.05,2.765177273,1704.9046
0,833.3,120,13.5,84.3,1.31,1828,64.21,71,39.58789,122.9165,93.4,0.4,0,113,7.21,0,1.579,8,11.28,35.78,11.11,12.31,32.7,CA,1.8,0.323,0,0.33335,12.01
0,1465.3,314,28.8,164.2,0.67,1113.6,68.34,54,40.49018,123.61268,150.2,0.4,0,38,7.71,1.549,1.578,1,10.95,30.1,8.46,17.16,184.7,CA,0.1,0.17,0.04,0.6667,196.2838
0,1878.3,275,31,191.1,0.8,1131.8,89.36,62,40.6977,123.36434,222.8,0.6,5,93,8.01,0.162,1.264,14,14.27,8.84,29.71,19.11,72.9,CA,0.1,0.217,0,0.196972727,55.4937
0,3937.8,249,277.3,358.5,0.81,761.1,87.91,14,39.65009,123.60805,2051,0.4,2.1,45,8.12,1.811,2.143,14,26.88,12.1,14.21,20.97,46.6,CA,0.1,1.49,0,0,12.7011
0,794.2,332,6.2,82.6,0.98,1943.3,95.08,156,41.8617,122.20766,157.4,0.2,35.7,576,7.44,0.304,0.691,20,19.14,3.83,23.92,7.7,6.9,CA,5.2,0.997,0,0,26.3048
0,1666.8,179,561.3,252.3,4.11,188.3,68.08,8,38.36687,122.95615,789.5,0.6,2.1,349,8.47,13.542,1.187,59,18.56,31.92,20.65,13.35,291.3,CA,7.4,4.98,0,0,2.8794
0,3017,63,20.6,288.8,0.67,1384.8,86.12,102,40.44593,122.94635,154.7,0.2,0,26,8.27,0,1.074,14,16.78,13.59,19.04,20.33,107.2,CA,0.3,0.092,0,0.33335,16.5155
0,1530.8,202,17.8,150.7,1.35,1608.4,79.71,117,42.003,122.76312,178.3,0.4,0,50,7.97,0,1.111,21,23.52,19.45,16.3,21.17,36.9,CA,0.2,0.135,0,0,24.8654
0,1571.1,83,14.9,152.7,1.27,2606.9,33.68,185,38.3109,119.34293,335.8,0.4,0,104,8.16,0.039,0.713,37,2.02,66.33,33.34,13.14,15,CA,3.3,1.02,0,0,25.373
0,1122.4,110,115.9,126.5,0.36,1200.9,96.11,132,40.98044,122.50729,246.8,0.2,5.7,80,7.46,0.409,2.097,4,18.72,3.92,16.01,22.92,50.8,CA,0,0.132,0,0.272740909,9.7729
0,765.7,278,25.9,72.97,1.23,1869,94.31,128,41.19708,122.52973,84.7,0.5,2.9,98,7.55,0,1.359,1,21.99,4.41,10.74,13.44,20,CA,1.9,0.377,0,1.060618182,5.6975
0.27,2470.4,91,89.7,279,1.14,1365.8,13.18,99,33.76053,116.5489,601.5,0.4,0,60,8.28,0,0.425,2,0,84.64,29.78,28.61,396.8,CA,0.5,0.174,0,0.992436364,22.4079
0,2448.6,94,234.1,321.5,0.65,492,91.87,16,37.04453,121.72861,682.1,0.4,12.1,221,8.14,5.655,1.039,4,2.05,8.05,20.21,19.78,647.9,CA,1.1,0.216,0,0.92425,3.3562
31.33,3641.9,218,5738.2,1531,2.5,401.9,10.2,23,33.45407,117.30182,4962.6,0.9,538.3,7244,8.11,4.576,0.32,3,25.85,57.37,45.96,12.72,5852.9,CA,3.2,0.532,0.29,1.257613636,24.9147
0.41,2908.2,74,87.2,1353,2.39,1701.9,26.75,44,34.65926,119.14255,1103.5,0.6,0,228,8.18,0.115,0.488,5,0,66.75,22.91,19.87,13304,CA,1.9,0.532,0.01,0,26.1394
0.03,1834.3,257,123.5,195.1,1.11,2181.5,45.29,100,34.1869,117.00758,443.4,0.6,3.6,180,8.3,64.063,0.666,8,30.61,46.43,21.27,12.22,42.9,CA,5,0.208,2.4,0.606077273,223.1396
0.01,4179,258,245.4,467,1.4,1327,29.32,39,34.28771,118.23008,1417.3,0.9,18.6,364,7.97,0.416,0.727,9,6.96,68.76,23.74,23.05,798.4,CA,0.1,0.234,0.09,0.697,242.6414
0.38,3621.7,103,265.7,918.5,1.25,1462,21.08,29,34.55734,119.24876,1709.4,0.4,0,83,8.14,0.722,0.481,4,4.49,76.67,16.26,19.47,6299.3,CA,0.1,0.178,0.05,0,156.4076
0,1615,322,505.7,224.5,3.45,188.7,86.15,10,40.72861,124.06014,684.7,1,4.3,98,7.38,8.029,1.385,45,0,4.39,17.6,18.69,254.2,CA,5,1.69,0,0.6667,2.7443
3.16,5465.7,341,1763.7,1080,1.98,314.3,30.77,14,34.59402,120.19376,3512,0.7,40.7,718,8.23,2.096,0.462,2,16.67,65.18,10.72,16.64,4684.9,CA,0.2,0.269,0.71,0.848504545,39.1339
2.75,7721.8,151,12853.5,2942,4.48,210.2,7.88,5,34.82946,120.54916,15673.6,1.1,53.5,1271,7.94,3.707,0.403,1393,19.76,81.34,40.34,11.88,11436,CA,47.5,15.6,2.3,1.295454545,45.056
0,353.6,289,69.4,45.62,0.77,2632,52.58,169,37.68178,119.53587,155.6,0.5,0,63,7.52,0.089,1.155,1,0,43.86,15.96,14.73,9.6,CA,0,0.108,0,0,112.4922
4.58,874.6,277,13.8,90.9,2.33,2046,63.12,304,41.22948,120.40485,217.6,0.5,2.9,248,7.99,0.721,0.623,45,10.09,29.19,33.98,10.87,9.4,CA,4.8,1.35,0.01,1.818190909,274.6662
0,1303.7,259,37.5,151.1,0.57,1642.5,89.19,151,39.41396,120.98036,167.4,0.2,0,59,8.07,0.426,1.669,2,11.92,9.15,13.81,17.55,165.9,CA,0.1,0.147,0.02,1.045490909,371.1833
0,1211.9,10,12.1,125.2,0.54,1843.1,78.21,202,39.81211,120.68135,109,0.6,0,101,8.1,0.894,1.466,4,12.87,20.82,12.72,17.02,67.5,CA,3.6,0.177,0.07,0.136363636,58.1353
18.12,2023.8,168,1513.3,545.1,2.52,897.7,43.2,57,34.61359,118.77983,2199.2,0.9,19.3,468,8.75,31.712,0.818,34,13.36,32.91,12.51,9.51,1663.5,CA,3.8,0.891,1.85,0.477272727,803.6666313
18.07,3765.4,168,1091.6,1076,3.24,897.5,43.15,46,34.43957,118.75907,3151.5,0.5,0,188,8.17,31.64,0.817,19,13.34,33.03,15.87,9.55,6924.3,CA,5.9,1.03,1.85,1.946972727,1119.282657
0.08,1472.2,253,190.4,171.7,1.96,2005.4,73.49,84,33.77174,116.76959,714.9,2.2,10,304,7.38,5.118,0.716,66,9.39,25.93,42.71,17.99,19.6,CA,3.7,0.205,0.3,0.454554545,12.3148
2.76,6597,266,2316.8,1216,3.51,324,34.37,11,34.55085,120.35832,3505.6,0.7,2.1,253,8.18,1.089,0.471,137,13.73,62.05,28.31,12.76,4790.5,CA,3.6,1.74,0.6,1.386381818,55.0774
80.32,5676.1,246,4295.2,3915,3.55,25.7,2.08,9,34.19094,119.08589,14510.8,1.8,5989.9,89750,8.06,138.012,0.37,13,22.06,5.71,44.48,0.69,35055.1,CA,32.1,2.36,9.67,3.234881818,8.5543
0.02,3946.7,248,218.6,407.8,2.12,1144.4,41.28,39,34.23908,118.18059,716.9,1.4,11.4,286,8.12,0.108,0.699,86,8.92,58.43,23.02,28.92,257.1,CA,1,0.364,0.01,0.916681818,36.9837
2.58,3154.3,172,673.6,435.3,1.65,2178.3,17.66,52,34.49347,118.45703,1693.5,1.2,5,280,8.31,2.135,0.444,51,7.43,74.04,17.17,11.91,679.8,CA,23.7,1.95,0.21,2.128818182,65.67081956
0,985.3,236,81.5,110.2,0.92,1257.6,77.85,62,40.7789,123.33513,124.5,0.2,0,64,8.27,2.087,1.28,2,8.27,18.33,13.09,21.8,47.5,CA,2.4,0.3,0.13,1.045468182,3672.6834
0.01,NA,251,NA,NA,NA,802.9,96.07,25,41.85242,123.89641,NA,NA,NA,NA,NA,0.474,2.589,NA,10.21,3.7,NA,24.97,NA,CA,NA,NA,0.11,2.65,314.2313
0,3940.7,321,107.2,372.8,1.48,916.8,85.86,63,40.62725,123.37293,258,0.3,28.6,509,8.39,0.305,1.144,27,9.03,10.45,30.22,18.18,216.3,CA,2.7,0.213,0.8,1.484868182,6.5631
1.03,2161.5,272,272.2,265,0.81,251.7,89.2,15,39.18657,123.54806,600.4,0.4,4.3,94,7.39,0.611,0.993,28,15.97,9.77,18.57,20.08,235.5,CA,3.8,0.364,0,0.33335,68.6855
8.36,1648.6,245,160.8,197.1,4.09,1413.1,58.83,46,41.60326,123.49999,564.5,1.1,7.9,621,8.63,3.128,0.675,138,12.22,26.21,30.13,8.3,186.8,CA,6.4,0.778,0.31,0.563509524,28383.4083
0,1929.6,35,59.5,209.9,1.42,2007,89.26,127,41.3626,122.51875,109.4,0.4,2.1,91,8.18,0.451,0.854,2,3.96,9.49,22.99,18.09,19.2,CA,0.4,0.147,0,0,4.4256
3.07,2687.5,77,915.8,467.2,2.62,340.4,72.46,15,40.52712,124.17024,1492.4,0.8,7.1,244,8.12,2.533,1.459,10,5.59,24.45,6.61,19.18,946.5,CA,1.8,0.875,0,0.962159091,32.3653
9.19,1642.2,243,157.7,201.6,4.81,1452.1,55.37,104,41.83196,122.84729,664.8,1.6,25,1051,8.61,3.37,0.59,204,12.44,27.84,36.49,6,206.7,CA,8.8,2.33,0.35,1.295486364,24106.1604
0,969.3,332,88.6,127.4,0.87,910.8,73.43,23,40.89154,123.80843,147.7,0.4,2.9,74,7.85,0.305,1.909,2,13.13,23.9,6.49,17.46,199.7,CA,0,0.176,0,1.409140909,167.386
0,965.4,334,136.8,118.9,1.19,522,98.15,7,39.79937,123.74491,318.6,0.3,2.9,106,7.65,0.221,1.838,11,14.12,1.84,13.99,21.64,51.8,CA,2.2,0.224,0,0.33335,72.4902
0,1080.5,163,24,110.4,0.77,1230,92.08,63,41.88844,123.41309,102.7,0.4,4.3,98,8.02,0.235,1.635,7,9.03,7.87,21.35,24.66,22.5,CA,1.4,0.25,0,0.757613636,46.8598
0,309.4,281,575.1,115.3,1.41,194.3,88.46,5,39.40743,123.74067,598,0.2,7.9,141,7.04,63.158,1.187,7,0,11.54,21,12.51,88.3,CA,34.3,3.2,0,0.742454545,0.1871
0,793.1,358,79.5,94.5,0.96,2087.8,57.8,190,39.37112,120.03276,250.1,0.4,0,100,8.06,27.277,0.918,8,14.35,16.04,15.78,9.94,37.3,CA,10.7,0.876,2.44,2.304538528,2303.9002
8.23,1599.4,243,145.8,190.7,4.05,1406.2,59.33,46,41.46137,123.49679,580,0.9,8.6,651,8.8,3.084,0.695,147,12.17,25.92,29.11,8.55,189,CA,9.2,0.8,0.31,0.659109091,28805.5356
0,1755,294,30.7,227.5,0.7,1515.1,85.64,79,40.23868,123.08257,475,0.6,0,68,8.16,0.041,1.322,13,5.66,13.92,25.03,20.14,67.7,CA,6.4,0.192,0,0.265154545,49.0231
0,1350.4,84,91.4,144.2,1.15,913.7,80.3,52,40.15931,123.39998,220.8,0.4,2.9,100,7.27,1.505,1.705,12,19.48,19.56,11.85,15.29,47.9,CA,3.2,0.331,0.07,0.515177273,18.5957
0,1311.1,253,79.8,135.2,0.55,735.4,95.37,14,39.74043,123.63113,353.9,0.3,2.1,34,7.98,0,1.902,20,0,4.67,15.83,24.14,58.5,CA,2.4,0.113,0,0.348495455,2.7359
0,927.8,241,42.6,99.65,0.99,966.7,87.5,87,38.22008,120.46985,198.8,0.6,0,129,7.31,3.884,1.133,14,14.05,12.48,22.57,13.95,51,CA,4.1,0.3,0,0.787904545,43.5132
0,3370.9,246,35.5,298.3,0.85,1351.1,78.86,79,40.24003,123.08425,173.3,0.5,2.9,54,8.22,0,1.28,4,18.73,17.02,14.31,16.73,25.8,CA,4,0.134,0,0,7.432
0,1227.3,255,9.9,143.1,0.89,1756.2,64.09,69,39.98427,123.05205,120.9,0.6,5,128,8.16,0,1.933,6,0.83,34.18,6.93,18.69,262.5,CA,1.1,0.235,0,0,26.7246
3.16,2301.3,317,208.4,257.4,1.05,413.3,68.87,19,39.06158,123.45951,609,0.6,2.1,198,9.01,3.477,1.087,21,12.75,27.71,13.34,19.72,262.1,CA,1.8,0.477,0.15,0,463.6229
0,5242,334,1059.1,695.9,2.92,214.4,30.24,15,37.89266,122.1038,2303.2,0.9,8.6,580,8.26,445.776,0.599,277,42.08,33.1,18.96,13.14,1020.6,CA,8.5,2.67,35.5,3.484968182,42.7339
0,1396.5,79,68.5,151.9,0.87,1348,40.12,76,39.53821,122.86167,207.6,0.1,0,45,8.13,0,1.52,18,3.41,59.8,7.02,20.85,131.4,CA,6.2,0.251,0,0,11.7378
0,1312.1,261,253,167.1,1.91,239.2,99.64,10,39.39374,123.68561,466.3,0.9,2.9,120,7.57,0.039,1.189,42,12.24,0.37,18.13,21.94,111,CA,1.3,1.24,0,0.4091,25.6415
0,911.5,246,8.2,101.3,0.69,1508.6,64.95,78,40.93566,123.15576,105.4,0.4,2.9,70,7.74,0.138,1.604,5,0,31.88,15.9,28.03,73.7,CA,1.2,0.126,0,0,14.4998
0,565.5,121,84.3,70.39,0.46,478.1,100.04,162,41.84996,124.0333,155.5,0.4,2.1,52,7.6,0,2.372,2,1.75,0,13.03,22.22,43.9,CA,1.5,0.244,0,0,1.7191
0,1627.3,237,155.7,192.7,1.22,651.5,65.88,19,40.6568,123.9803,307.9,0.4,0,101,7.87,0.823,1.808,12,11.82,27.72,11.03,19.66,175.3,CA,0.5,0.441,0.01,0,63.2017
0.32,4045.1,123,119,836.9,0.93,1387.5,20.41,22,34.50505,119.27893,1562.4,0.8,0,81,8.21,0.661,0.497,4,4.54,77.42,17.38,20.17,5738.4,CA,0.2,0.196,0.06,0.863672727,186.2093
0,659.9,121,411.5,118.9,1.01,135.3,100.09,184,41.40352,124.06346,432.2,0.4,2.9,70,7.64,0,1.72,31,2.86,0.05,24.45,14.62,47.7,CA,0.2,0.178,0,0,5.5974
0,2056.7,204,66.3,188,0.63,885,97.32,24,41.85818,123.91171,75.1,0.3,0,76,7.97,0.353,2.679,4,1.59,2.67,22.47,19.31,17.7,CA,6.9,0.418,0,0,2.8317
0,1218.3,271,91.1,140.3,0.58,1114.9,95.07,43,41.01792,123.59296,144.5,0.1,15,240,8,0,2.078,11,4.6,3.8,19.36,25.12,104.3,CA,0.4,0.129,0,0.181827273,94.0757
0,1656.4,309,110.3,173.5,0.7,865.3,95.52,14,39.7297,123.63241,423.6,0.4,2.9,58,7.78,0.248,2.454,24,2.99,4.39,16,24.3,98.7,CA,4,0.148,0,0.401531818,16.1615
0,882.5,160,10.7,92.87,0.78,1579.7,84.59,83,41.31775,123.06015,100,0.4,2.1,46,7.96,0.4,1.292,1,2.13,13.15,12.78,27.16,46,CA,0.8,0.139,0.02,0.121218182,260.2763
0,1076.4,230,365,152,0.99,1823.8,81.69,107,41.14126,122.80079,385.7,0.4,5,114,8.05,0.212,1.15,2,0,16.92,20.82,19.43,50.4,CA,2.7,0.163,0,0.204545455,23.5428
0,1536.7,87,113.7,168,0.73,504.9,98.91,27,40.29498,123.90582,461.5,0.1,0,30,7.85,0.668,1.643,36,3.31,1.06,16.67,21.26,58.1,CA,0,0.331,0,0,26.9486
0,1360.8,329,79,197.2,0.55,547.8,90.06,9,40.20733,124.11988,333.1,0.1,0,24,8.39,0.94,2.195,12,9.04,9.87,9.77,26.05,485.7,CA,0,0.173,0,0.090913636,32.9877
0,1535.8,65,221.1,212.3,1.38,311.8,85.4,20,40.12351,123.84332,573.3,0.9,0,130,7.98,6.3,1.666,38,14.14,14.57,14.44,18.22,345,CA,1.6,0.367,0,0.33335,66.6723
0,3034.4,256,865.6,417.4,2.57,459.8,65.4,30,39.23644,123.38791,2436.3,0.4,0,169,8.08,0.41,1.186,50,7.83,34.58,22.13,20.13,155.3,CA,0.5,0.511,0,0.36365,21.9536
0,2067.6,237,646.2,292.6,3.12,555.7,71.7,34,40.48831,123.90781,773,0.3,3.6,109,7.83,0.531,1.549,29,9.59,27.96,13.17,17.94,128.3,CA,0.8,0.826,0,0,49.0094
0,4127.1,129,322.4,401.3,0.85,394,69.38,16,38.59214,123.07054,515,0.4,0,80,8.52,0.538,1.382,13,6.8,30.61,19.68,22.17,89.1,CA,1.7,0.32,0,0.33335,31.6039
0,1989.4,221,87.4,208.8,0.92,1079.8,70.81,78,41.8443,123.19272,170.1,0.6,3.6,180,7.21,1.2,0.917,10,7.19,28.26,27.69,26.17,81,CA,3.7,0.214,0.01,0.924286364,70.013
0,1351.6,111,113.7,148.6,0.65,1249,44.15,76,39.49372,122.8641,259.8,0.1,0,36,7.99,0,1.53,10,4.78,55.89,7.62,19.79,88.5,CA,1,0.186,0,0,19.5007
0,2858,335,22.3,271.9,1.09,1465.7,80.52,96,40.48849,123.02803,150.6,0.4,2.1,34,8.19,0.082,1.124,4,1.54,18.56,33.43,21.34,50.6,CA,1.6,0.098,0,0.33335,12.2387
0,4250.9,162,329.7,412.3,1.18,328.7,80.34,11,38.54174,123.07138,523.3,0.4,0,140,8.54,0.939,1.304,10,10.06,19.65,17.5,21.91,107,CA,0.6,0.326,0,0.136368182,75.5931
0.11,7028.5,125,262.6,957.7,2.99,1001.1,32.05,28,34.69526,119.90915,1891.7,1.1,0,278,8.27,0.079,0.642,25,8.17,67.46,19.91,24.33,4125.3,CA,1,0.746,0.23,0.36365,12.5948
